,Date,Start (ET),Visitor/Neutral,VisitorScore,Home/Neutral,HomeScore,Attend.,Arena,season,players
0,2019-10-22,8:00p,New Orleans Pelicans,122,Toronto Raptors,130,20787.0,Scotiabank Arena,2020,"[[['Jrue Holiday', 'Brandon Ingram', 'JJ Redick', 'Lonzo Ball', 'Derrick Favors'], ['Josh Hart', 'Nicolò Melli', 'Kenrich Williams']], [['Kyle Lowry', 'Fred VanVleet', 'Pascal Siakam', 'OG Anunoby', 'Marc Gasol'], ['Norman Powell', 'Serge Ibaka', 'Terence Davis']]]"
1,2019-10-22,10:30p,Los Angeles Lakers,102,Los Angeles Clippers,112,19068.0,STAPLES Center,2020,"[[['Anthony Davis', 'LeBron James', 'Danny Green', 'Avery Bradley', 'JaVale McGee'], ['Kentavious Caldwell-Pope', 'Dwight Howard', 'Quinn Cook']], [['Kawhi Leonard', 'Patrick Beverley', 'Landry Shamet', 'Patrick Patterson', 'Ivica Zubac'], ['Montrezl Harrell', 'Lou Williams', 'Maurice Harkless']]]"
2,2019-10-23,7:00p,Chicago Bulls,125,Charlotte Hornets,126,15424.0,Spectrum Center,2020,"[[['Lauri Markkanen', 'Zach LaVine', 'Wendell Carter Jr.', 'Otto Porter Jr.', 'Tomáš Satoranský'], ['Coby White', 'Thaddeus Young', 'Kris Dunn']], [['P.J. Washington', 'Cody Zeller', 'Dwayne Bacon', 'Miles Bridges', 'Terry Rozier'], [""Devonte' Graham"", 'Marvin Williams', 'Malik Monk']]]"
3,2019-10-23,7:00p,Detroit Pistons,119,Indiana Pacers,110,17923.0,Bankers Life Fieldhouse,2020,"[[['Andre Drummond', 'Tony Snell', 'Bruce Brown', 'Markieff Morris', 'Reggie Jackson'], ['Luke Kennard', 'Derrick Rose', 'Langston Galloway']], [['Myles Turner', 'Malcolm Brogdon', 'Domantas Sabonis', 'T.J. Warren', 'Jeremy Lamb'], ['Edmond Sumner', 'Justin Holiday', 'T.J. McConnell']]]"
4,2019-10-23,7:00p,Cleveland Cavaliers,85,Orlando Magic,94,18846.0,Amway Center,2020,"[[['Kevin Love', 'Tristan Thompson', 'Darius Garland', 'Collin Sexton', 'Cedi Osman'], ['Larry Nance Jr.', 'Jordan Clarkson', 'Matthew Dellavedova']], [['Nikola Vučević', 'Aaron Gordon', 'Evan Fournier', 'D.J. Augustin', 'Jonathan Isaac'], ['Al-Farouq Aminu', 'Markelle Fultz', 'Terrence Ross']]]"
5,2019-10-23,7:30p,Minnesota Timberwolves,127,Brooklyn Nets,126,17732.0,Barclays Center,2020,"[[['Karl-Anthony Towns', 'Andrew Wiggins', 'Treveon Graham', 'Jeff Teague', 'Robert Covington'], ['Jake Layman', 'Shabazz Napier', 'Jarrett Culver']], [['Taurean Prince', 'Joe Harris', 'Kyrie Irving', 'Caris LeVert', 'Jarrett Allen'], ['Spencer Dinwiddie', 'Garrett Temple', 'DeAndre Jordan']]]"
6,2019-10-23,7:30p,Memphis Grizzlies,101,Miami Heat,120,19600.0,AmericanAirlines Arena,2020,"[[['Jae Crowder', 'Jaren Jackson Jr.', 'Ja Morant', 'Dillon Brooks', 'Jonas Valančiūnas'], ['Marko Gudurić', 'Tyus Jones', 'Brandon Clarke']], [['Justise Winslow', 'Tyler Herro', 'Kendrick Nunn', 'Bam Adebayo', 'Meyers Leonard'], ['Goran Dragić', 'Duncan Robinson', 'Kelly Olynyk']]]"
7,2019-10-23,7:30p,Boston Celtics,93,Philadelphia 76ers,107,20422.0,Wells Fargo Center,2020,"[[['Jayson Tatum', 'Gordon Hayward', 'Kemba Walker', 'Enes Freedom', 'Jaylen Brown'], ['Marcus Smart', 'Carsen Edwards', 'Robert Williams']], [['Tobias Harris', 'Ben Simmons', 'Josh Richardson', 'Al Horford', 'Joel Embiid'], ['Matisse Thybulle', 'Furkan Korkmaz', 'James Ennis III']]]"
8,2019-10-23,8:30p,Washington Wizards,100,Dallas Mavericks,108,19816.0,American Airlines Center,2020,"[[['Bradley Beal', 'Thomas Bryant', 'Rui Hachimura', 'Ish Smith', 'Isaac Bonga'], ['Dāvis Bertāns', 'Jordan McRae', 'Chris Chiozza']], [['Luka Dončić', 'Kristaps Porziņģis', 'Maxi Kleber', 'Delon Wright', 'Courtney Lee'], ['Dorian Finney-Smith', 'Jalen Brunson', 'Tim Hardaway Jr.']]]"
9,2019-10-23,8:30p,New York Knicks,111,San Antonio Spurs,120,18354.0,AT&T Center,2020,"[[['Marcus Morris', 'RJ Barrett', 'Julius Randle', 'Bobby Portis', 'Allonzo Trier'], ['Elfrid Payton', 'Kevin Knox', 'Taj Gibson']], [['LaMarcus Aldridge', 'Bryn Forbes', 'DeMar DeRozan', 'Trey Lyles', 'Dejounte Murray'], ['Derrick White', 'Rudy Gay', 'Marco Belinelli']]]"
